"adduct","log10freq","massdiff","nummol","charge"
"[M+2H-NH3]2+",-3.51290442213519,-15.0120166,1,2
"[Cat]3+",-3.51290442213519,-0.001645737,1,3
"[Cat]2+",-3.51290442213519,-0.0010404,1,2
"[Cat+H]2+",-3.33681316307951,1.006178842,1,2
"[M+2H]2+",-1.81393441779917,2.014552,1,2
"[M+H+Na]2+",-2.69999106549233,23.996494,1,2
"[M+2H+Na]3+",-3.81393441779917,25.00377,1,3
"[M+H+K]2+",-2.23415082118236,39.970434,1,2
"[M+2Na]2+",-2.66780638212093,45.978436,1,2
"[M+H+2Na]3+",-3.51290442213519,46.98573,1,3
"[M+3Na]3+",-3.51290442213519,68.967654,1,3
"[M+H]+",-0.268998651917666,1.007276,1,1
"[M+H-H2O]+",-0.747608492437131,-17.0032778,1,1
"[M+Na]+",-0.963288182616102,22.989218,1,1
"[M+H-NH3]+",-1.58862513607331,-16.01927432,1,1
"[M-H+2Na]+",-1.85969190835984,44.97116444,1,1
"[Cat]+",-1.89485632542309,-0.000548579,1,1
"[M-2H+3Na]+",-1.91084443080722,66.9530814,1,1
"[M+H+H2O]+",-2.3225727239649,19.01786821,1,1
"[M+K]+",-2.41599440912713,38.963158,1,1
"[M+NH4]+",-2.49171512306525,18.033823,1,1
"[M-H+2K]+",-3.11496441346315,76.91904,1,1
"[Cat+H2O]+",-3.21187442647121,18.010011,1,1
"[M+H-OH]+",-3.21187442647121,-15.99548193,1,1
"[Cat-H2O]+",-3.51290442213519,-18.0110879,1,1
"[Cat-H]+",-3.51290442213519,-1.0083404,1,1
"[M+Na-H2O]+",-3.51290442213519,4.978142219,1,1
"[M-2H+3K]+",-3.51290442213519,114.8748814,1,1
"[M+K-H2O]+",-3.81393441779917,20.95204222,1,1
"[M-CO2H+H]+",-4.81393441779917,-43.98986378,1,1
"[3M+H-H2O]+",-4.81393441779917,-17.0032778,3,1
"[2M+H]+",-1.22398481647346,1.007276,2,1
"[3M+H]+",-2.26986637344889,1.007276,3,1
"[2M+Na-H2O]+",-3.81393441779917,4.978142219,2,1
"[2M+K-H2O]+",-3.81393441779917,20.95204222,2,1
"[3M+K-H2O]+",-4.81393441779917,20.95204222,3,1
"[2M+Na]+",-2.96883637778491,22.989218,2,1
"[2M+K]+",-3.81393441779917,38.96314222,2,1
"[3M+K]+",-3.81393441779917,38.96314222,3,1
